id,text,sentiment_C1,stance_C1,sentiment_C2,stance_C2,target
wm_0,"Target: Women's March

London Women's March 2017. #womensmarch #resist #lovetrumpshate #womeninstreet https://t.co/FZ9KETMZi6",1.0,1,1.0,1.0,wm
wm_1,"Target: Women's March

Rip to those that actually have somewhere to be today because there is this in your city. https://t.co/ofdLA4yiGd",0.0,0,0.0,0.0,wm
wm_2,"Target: Women's March

Look how much I do care about keeping America Fit, I've motivated so many ppl to go walking on this beautiful day! #DOTUS #WomensMarch #iwin",1.0,0,1.0,0.0,wm
wm_3,"Target: Women's March

Oh no this will definitely change the outcome of the AMERICAN election. https://t.co/sluhFaFVEv",0.0,0,0.0,0.0,wm
wm_4,"Target: Women's March

The women's marches were huuuge this weekend! Now it's clear that Trump has neither a mandate nor a woman-date. #joketrump #WomensMarch",1.0,1,1.0,1.0,wm
wm_5,"Target: Women's March

by bombing them? https://t.co/JSkfqksXDm",0.0,0,0.0,1.0,wm
wm_7,"Target: Women's March

Best chants #WomensMarch 

""Tiny hands tiny feet all he does is tweet tweet tweet""

""He's orange he's gross he lost the popular vote""",1.0,1,0.0,1.0,wm
wm_8,"Target: Women's March

Holy cow!! This is fantastic!! Trump has accomplished something...THIS! https://t.co/AQ0VCjC1oq",1.0,1,1.0,1.0,wm
wm_9,"Target: Women's March

My city coming through 👏🏼👏🏼 https://t.co/gyNXKZ0vq7",1.0,1,1.0,1.0,wm
wm_10,"Target: Women's March

TBH I want that pink pussy beanie too #WomensMarch",1.0,1,1.0,1.0,wm
wm_11,"Target: Women's March

Nice! https://t.co/jnGK9oIG2I",1.0,1,1.0,1.0,wm
wm_13,"Target: Women's March

@DrMartyFox #WomensMarch absent when women of Cologne mass raped by MidEast male refugees, then told 2 basically grin/bear it by their mayor",0.0,0,0.0,0.0,wm
wm_15,"Target: Women's March

DemAwakening: .zhaabowekwe will kick off our Teach-In on Jan 21, which will mobilize womensmarch attendees around … https://t.co/w7WXb3s0Vp",1.0,1,1.0,1.0,wm
wm_16,"Target: Women's March

All those broads, and nobody to clean up that mess. https://t.co/cB8KUXhcq2",0.0,0,0.0,0.0,wm
wm_17,"Target: Women's March

#WomensMarch #solidarity ""open your heart ❤️ to patriotism there is no room for prejudice"" @POTUS 🇺🇸 #SupportOurTroops #SupportOurPresident",1.0,1,1.0,0.0,wm
wm_18,"Target: Women's March

Many women I talked to who went to #WomensMarch couldn't afford a place to stay, crashed at friend's. Paid for plane+ba…",0.0,1,1.0,1.0,wm
wm_19,"Target: Women's March

The future is #nasty! #womensmarchiowa #wmia #womensmarch https://t.co/0X8O9m9w69",1.0,1,1.0,1.0,wm
wm_20,"Target: Women's March

Congress - do you hear us now? You do NOT have a blank check to roll-back decades of progress. #WomensMarch We'll hold you accountable.",0.0,1,0.0,1.0,wm
wm_21,"Target: Women's March

Didn't Hillary and all liberals denounce this kind of thing as a threat to the Republic when they thought they would win ? https://t.co/vCZHiWujz1",0.0,0,0.0,0.0,wm
wm_22,"Target: Women's March

Brilliant. @Madonna is thinking of blowing up the #WhiteHouse, and now these ❄️❄️❄️are threatening @POTUS with a mass #Mus…",0.0,0,0.0,0.0,wm
wm_23,"Target: Women's March

If feminists wanted to empower women, they should love diversity of thought among us. #WomensMarch",1.0,0,0.0,0.0,wm
wm_24,"Target: Women's March

MT @March_for_Life: 'I am young. I am a woman. I am for life.' #prolife #whyimarch https://t.co/J8tOGA3Mnv #UnbornLivesMatter #PJNET",1.0,0,1.0,1.0,wm
wm_25,"Target: Women's March

So many great signs and banners today! #WomensMarch #WMNewZealand #whyIMarch #WM_global #WMW https://t.co/G3ll5a4KM6",1.0,1,1.0,1.0,wm
wm_26,"Target: Women's March

#WomensMarch this tweet raises the problem with #PlasticFeminism: WILLFULL IGNORANCE TO REAL FEMINIST ISSUES! #MAGA #Hypocrites https://t.co/LPMAbcfx1L",0.0,0,0.0,0.0,wm
wm_27,"Target: Women's March

EAGLE ALERT: So many marchers talked about this moment. Here it is. Thanks @lindsaycohen #womxnsmarchseattle #komonews ht…",1.0,1,1.0,1.0,wm
wm_29,"Target: Women's March

Hundreds of thousands of marchers silent, listening to the wisdom of this beautiful, radical leader. #loveyougloria #womens…",1.0,1,1.0,1.0,wm
wm_30,"Target: Women's March

@WDBJ7 it's amazing how much media coverage is given 2 those who support both the slaughter of the unborn and sexual perversion.#WomensMarch",0.0,0,0.0,0.0,wm
wm_32,"Target: Women's March

At least 10 cities in #Texas held a #WomensMarch today. Not sure why only 3 show up on this map. I was at #MarchOnAustin…",1.0,1,1.0,1.0,wm
wm_33,"Target: Women's March

We are beautiful &amp; strong.#WomensMarch https://t.co/kelotIF0np",1.0,1,1.0,1.0,wm
wm_34,"Target: Women's March

This is part of what #museums and #archives and #libraries can do. Document! #WomensMarch https://t.co/gHXkKLrJdk",1.0,1,1.0,1.0,wm
wm_35,"Target: Women's March

#womensmarch was nothing more than continuation of a 2+ month temper tantrum that is tired, worn out &amp; old. And they w…",0.0,0,0.0,0.0,wm
wm_36,"Target: Women's March

We will be at the @womensmarchla on Jan 21, will you? 
#WhyIMarch #WomensMarch #WomensmarchLA #UnitedAgainstHate https://t.c…",1.0,1,1.0,1.0,wm
wm_38,"Target: Women's March

A quick check on what my local neighbourhood's bigots have to say about yesterday's inspiring #WomensMarch https://t.co/jncYrXwdXb",0.0,1,0.0,1.0,wm
wm_40,"Target: Women's March

#WomensMarch @realDonaIdTrump Hillary may have lost the fight, but she started a revolution of change! A FAR GREATER ACCOMPLISHMENT !",1.0,1,1.0,1.0,wm
wm_41,"Target: Women's March

Don't worry hunny no none wants to grab your pussy. That's probably why ya'll are so angry. #NastyWoman #WomensMarch #1A #…",0.0,0,0.0,0.0,wm
wm_42,"Target: Women's March

All Respect ❤️Love💛Strength💚Solidarity💙Power💜Hope✊🏿✊🏾✊🏽✊🏼✊🏻 To #WomensMarch'ers around the world 🌎🌍🌏from the #Fightfor15",1.0,1,1.0,1.0,wm
wm_43,"Target: Women's March

Officially my favorite sign #WomensMarch https://t.co/QD1grEytxt",1.0,1,1.0,1.0,wm
wm_44,"Target: Women's March

March on, fellow women! @TheMightySite 
#WomensMarch #womensrightsarehumanrights 
#Election2016 #crohns #ostomy #ACA
https://t.co/4fdGhAjzMa",1.0,1,1.0,1.0,wm
wm_45,"Target: Women's March

@womensmarch.. Congratulations losers, you walked, I hope today you have sore feet, at least you will have accomplished something!!",0.0,0,0.0,0.0,wm
wm_46,"Target: Women's March

Women. Not ladies. https://t.co/qqRjlGkP3t",0.0,0,0.0,1.0,wm
wm_47,"Target: Women's March

god bless her parents; she could have been ""witnessing"" with ""abortion kills"" sign; #peacefulprotests #changetheconversation #ProtestMarch https://t.co/eIr0qSRM3d",1.0,0,1.0,1.0,wm
wm_48,"Target: Women's March

Moore Square is packed with people during the #womensmarchraleigh #ncpol #WomensMarch https://t.co/jyMyjA9XXz",1.0,1,1.0,1.0,wm
wm_49,"Target: Women's March

But, by all means #WomensMarch complain about what you fear will happen!
https://t.co/mA9Je8aOLy",0.0,0,0.0,0.0,wm
wm_50,"Target: Women's March

This what a liberal protest looks like https://t.co/dmCwFNhF9d",1.0,0,0.0,0.0,wm
wm_51,"Target: Women's March

Ariana and Miley also participated in the march, fighting for your rights
I love them so much and I'm so proud ♥ #Wome…",1.0,1,1.0,1.0,wm
wm_53,"Target: Women's March

She should be in jail! https://t.co/QE4av9zs4x",0.0,0,0.0,0.0,wm
wm_55,"Target: Women's March

The libtards in this country deserve to be forced to live under sharia law! its the invasion of retards! I love how they have ZERO power https://t.co/wNC1e4XK4N",0.0,0,0.0,0.0,wm
wm_56,"Target: Women's March

Who cares what you say. Go away. https://t.co/0ORmZTJOie",0.0,0,0.0,0.0,wm
wm_57,"Target: Women's March

@Crazy_Mazzei @MattWalshBlog Did he say something positive about #womensmarch Would he say something positive about #womensmarch",1.0,0,1.0,1.0,wm
wm_58,"Target: Women's March

Proud of my fellow citizens, thank you to the tapestry of humanity that exercised their right to peaceful assembly yesterday. #WomensMarch",1.0,1,1.0,1.0,wm
wm_59,"Target: Women's March

This was cool to see #WomensMarch https://t.co/kYYQOcvE2k",1.0,1,1.0,1.0,wm
wm_61,"Target: Women's March

#WomensMarch is proof of ignorance. By opposing #Trump they support Anarchy &gt; weakening US &gt; empowering #ISIS &gt; no rights at all &gt; rape https://t.co/0eqLNbrwC5",0.0,0,0.0,0.0,wm
wm_62,"Target: Women's March

#WomansMarch is turning out to be #ProABortionMarch.
You don't represent real woman.
More lies from the paid left.
#followThe…",0.0,0,0.0,0.0,wm
wm_63,"Target: Women's March

@BBCNews reports hundreds of thousands of marchers. Why not million+ which is nearer the mark. #WomensMarch",0.0,1,1.0,1.0,wm
wm_64,"Target: Women's March

Thank you to @DallasPD @CityOfDallas for keeping us safe today at our #DallasWomensMarch! #Dallas #WomensMarch",1.0,1,1.0,1.0,wm
wm_65,"Target: Women's March

Holy shit do I love Gregg Popovich!! #WomensMarch #fucktrump",1.0,1,1.0,1.0,wm
wm_66,"Target: Women's March

Typical liberals let someone clean up your mess. I'm sure Debozzio will be demanding payment from the Fed for a reason we won't understand. https://t.co/lhYvHj0iTV",0.0,0,0.0,0.0,wm
wm_68,"Target: Women's March

#Madonna should be arrested and punished. https://t.co/hCdl7jc6FZ",0.0,0,0.0,0.0,wm
wm_69,"Target: Women's March

Imagine being this stupid. https://t.co/Ydo1KPnpQO",0.0,0,0.0,1.0,wm
wm_71,"Target: Women's March

Thank God help, change, and dare I say hope is on the way #MAGA it is happening https://t.co/fD9XAitVZV",1.0,0,1.0,0.0,wm
wm_72,"Target: Women's March

Off to the #womensmarchlondon. #WomensMarch #EqualityforAll https://t.co/JLaOF0rg1y",1.0,1,1.0,1.0,wm
wm_73,"Target: Women's March

Great idea! Zero in on this, nice strategy. 👇 https://t.co/b409YgwAOy",1.0,1,1.0,1.0,wm
wm_74,"Target: Women's March

You have to expect this when one of the organizers is tied to Hamas 👹👺🔪💣 https://t.co/CnDx0U7Jxf",0.0,1,0.0,0.0,wm
wm_75,"Target: Women's March

Libs have always been #UsefulIdiots. https://t.co/x5y2KmAw36",0.0,0,0.0,0.0,wm
wm_76,"Target: Women's March

#WomensMarch Feminism is simply the quest for the equality of the sexes. Just that Trump",1.0,1,1.0,1.0,wm
wm_77,"Target: Women's March

@paolamendoza @womensmarch lol you got to give the feminist that they are funny, what courage is that? Doing that in front of liberals? Lol",0.0,0,0.0,0.0,wm
wm_78,"Target: Women's March

Bless the individuals who made this. Each photo is glorious and represent the diversity America stands for. #WomensMarch https://t.co/IjyxxPTffF",1.0,1,1.0,1.0,wm
wm_79,"Target: Women's March

#WomensMarch  &lt; is a pack uh grotesque homosucksual libtard thuggoons ! them being women does nothing to confirm their humanity 👎🏼",0.0,0,0.0,0.0,wm
wm_80,"Target: Women's March

That sign is fantastic https://t.co/xdhRiDJh9m",1.0,1,1.0,1.0,wm
wm_81,"Target: Women's March

#DakotaJohnson participated in #WomensMarch in LA yesterday with @blakeleeblake @ChaseCohl @Addijay for #WomensmarchLA @womensmarch https://t.co/SDFiA0zz68",1.0,1,1.0,1.0,wm
wm_82,"Target: Women's March

This thread 
❤️💙💜💛💚
Kara is exactly right about #whyIMarch
#AddHillary
#AddHerName
#WomensMarchOnWashington
#TheResistence
#WomensMarch https://t.co/yNaBnJJ1ct",1.0,1,1.0,1.0,wm
wm_83,"Target: Women's March

#WomensMarch why do this now? It's too late. Now @realDonaldTrump IS your president. Very loud but not so smart protest. :/",0.0,0,0.0,0.0,wm
wm_85,"Target: Women's March

Why is it important for an anti-abortion org to be a recognized group in @womensmarch? Where was the partnership before the elections?",0.0,1,0.0,1.0,wm
wm_86,"Target: Women's March

@cbcmarketplace why not do a shit saying ""cbc endorses SHARI LAW"" YOU CUCK IDIOTS! https://t.co/NP1RtkEsR2",0.0,0,0.0,0.0,wm
wm_87,"Target: Women's March

President of CAIR support Hamas, a radical Islamic terror group. CAIR is joining the #WomensMarch in DC. This is as anti-…",0.0,0,0.0,0.0,wm
wm_88,"Target: Women's March

RT PrisonPlanet: Was told I hate women cause I criticized #WomensMarch

If you criticize this pro-Trump march, you… https:/…",0.0,0,0.0,0.0,wm
wm_89,"Target: Women's March

Text women to 40649 to stay in touch to stand together and say no to unfair legislation. #WomensMarch @ellen @TheEllenShow @leightuohy",1.0,1,1.0,1.0,wm
wm_90,"Target: Women's March

#WomensMarch ladies - Madonna hates America! Madonna Interview : Vogue (August 2005) | all about Madonna https://t.co/aoLKf3cYeZ",0.0,0,0.0,0.0,wm
wm_91,"Target: Women's March

AKA The 'We're having a collective hissy fit because Hillary lost' March. #WomensMarch @FoxNews",0.0,0,0.0,0.0,wm
wm_92,"Target: Women's March

F**king Media Scum https://t.co/33lVxgelt2",0.0,0,0.0,0.0,wm
wm_93,"Target: Women's March

#WomenLead--&gt; More people at #WomensMarch than #Inauguration. This is what democracy looks like. #ResistTrump!!",1.0,1,1.0,1.0,wm
wm_94,"Target: Women's March

Hillary Clinton was a Senator and Secretary of State in her own right before she ran, you gibbering buffoon: https://t.…",0.0,1,0.0,1.0,wm
wm_95,"Target: Women's March

@jorymicah marching for the right to kill your own children is incomprehensible #WomensMarch",0.0,0,0.0,0.0,wm
wm_97,"Target: Women's March

@Godndguns Any pro-sharia banners at march? @lsarsour @nogod4dave @womensmarch @FoxNews @HillaryClinton @ColorMeRed @ikhras",1.0,0,0.0,0.0,wm
wm_98,"Target: Women's March

«human rights are women's rights, and women's rights are human rights once and for ALL» #womensmarch",1.0,1,1.0,1.0,wm
wm_100,"Target: Women's March

Tens of thousands marching and chearing through Seattle. #WomensMarch #komonews https://t.co/YKTrGXywUe",1.0,1,1.0,1.0,wm
wm_101,"Target: Women's March

The Holly-weird elite will never come to terms with the fact they're irrelevant. Let's boycott their movies &amp; TV shows.…",0.0,0,0.0,0.0,wm
wm_102,"Target: Women's March

Power with purpose. @womensmarch https://t.co/xegIwKd7fs",1.0,1,1.0,1.0,wm
wm_103,"Target: Women's March

OCPD officer just estimated up to 5000 people here right now for the #WomensMarch OK. People are still streaming in. @NEWS9",1.0,1,1.0,1.0,wm
wm_105,"Target: Women's March

Over 30 million women voted for Trump.Thats a true #WomensMarch They voted against HC who said 12yr old girl rape vict…",1.0,0,0.0,0.0,wm
wm_106,"Target: Women's March

Hundreds of thousands of #WomensMarch protesters flood DC, Chicago, NYC and other big cities https://t.co/s4lWXHtnY3 https:/…",1.0,1,1.0,1.0,wm
wm_107,"Target: Women's March

OMG BIIITTTCCH STFU !! Even before you was born women been marchering for u to even have a damn job !! https://t.co/IbUR3TR4wb",0.0,1,0.0,1.0,wm
wm_108,"Target: Women's March

Use energy/passion you have today to commit to what actions you'll take in the next 4 years. Make your plan to fight like hell! #WomensMarch",1.0,1,1.0,1.0,wm
wm_109,"Target: Women's March

#WomensMarch attendees hate firearms for self defense against would be perpetrators but love these weapons to tear apa…",0.0,0,0.0,0.0,wm
wm_112,"Target: Women's March

There's more people at the mall today #WomensMarch then #InaugurationDay2017 https://t.co/BfkJmMSDZk",1.0,1,1.0,1.0,wm
wm_113,"Target: Women's March

Impressive pics of #WomensMarch worldwide! &lt;3 Together we will rise! The fear is on the other side now!
#ResistTrump #Blockup…",1.0,1,1.0,1.0,wm
wm_114,"Target: Women's March

#WomensMarch I have 2 boy's with special needs many others who voted Mr Trump are diverse as well You people are not re…",1.0,0,1.0,0.0,wm
wm_115,"Target: Women's March

@FBI @Madonna FBI I demand that you open an investigation on Madonna and her ILLEGAL banter threatening the President @realDonaldTrump ! https://t.co/4bXJ25LWTG",0.0,0,0.0,0.0,wm
wm_116,"Target: Women's March

The Black Muslim community is showing OUT. They said they're not registering for Trump and his nazis. #WomensMarch",0.0,1,0.0,1.0,wm
wm_117,"Target: Women's March

One Thousand Four Hundred vulnerable girls were sexually abused over 16 years in Rotherham alone. There was NO #WomensM…",0.0,1,0.0,0.0,wm
wm_118,"Target: Women's March

@DvinMsM @HowellMarketing @larryelder over half the broads marching are likely just angry because guys aren't hitting on them #WomensMarch",0.0,0,0.0,0.0,wm
wm_119,"Target: Women's March

'In this together': #WomensMarch in D.C. echoed around the world https://t.co/syWCkXjAKB via @nbcnews",1.0,1,1.0,1.0,wm
wm_120,"Target: Women's March

Thought this a timely reminder -&gt; 7 Reasons Feminists Feel So Threatened By Conservative Women #WomensMarch https://t.co…",0.0,0,0.0,0.0,wm
wm_121,"Target: Women's March

@melgrissom @FREEDOMPARTY2 @rejialex7 Gloria Steinem encouraged all #WomensMarch women to register as muslims. How crazy,…",0.0,0,0.0,0.0,wm
wm_123,"Target: Women's March

This is a #prochoice statement, yet @CarlyFiorina wants to remove the autonomy of others. #WomensMarch 
@FoxNews https://t.co/A579dPnUOs",0.0,1,0.0,0.0,wm
wm_124,"Target: Women's March

ABSOLUTELY DISGRACEFUL - Imagine if she wore that in Iran or Iraq? https://t.co/vHwj1kKGIe",0.0,0,0.0,0.0,wm
wm_125,"Target: Women's March

""The Pussy Grabs Back""
#WomensMarch https://t.co/boDiyoqT0t",0.0,1,1.0,1.0,wm
wm_126,"Target: Women's March

And I hope you told the truth... and not what the #Presstitutes say https://t.co/q9Oz8vuSnv",0.0,0,0.0,0.0,wm
wm_127,"Target: Women's March

#WomensMarch Life and Family do not touch, Abortion=Murder PROVIDA https://t.co/VZGbWE0GFq",0.0,0,0.0,0.0,wm
wm_128,"Target: Women's March

Wow Phoenix showed out I wish I woke up 💀 https://t.co/UgKJ2Ywwuv",1.0,1,1.0,1.0,wm
wm_129,"Target: Women's March

No true man marched today... #WomensMarch",0.0,0,0.0,0.0,wm
wm_131,"Target: Women's March

No, this is what a mass hissy fit over a failed female presidential candidate's bid for the White House looks like. https:…",0.0,0,0.0,0.0,wm
wm_132,"Target: Women's March

Women's rights are human rights. #DivestTrump #WomensMarchOnWashington #WomensMarch Share your voice here. https://t.co/H…",1.0,1,1.0,1.0,wm
wm_133,"Target: Women's March

The hypocrisy of a feminist march banning pro-life women #WomensMarch https://t.co/dao1Qx9RZw via @DCExaminer",0.0,0,0.0,0.0,wm
wm_134,"Target: Women's March

@I_hate_camp https://t.co/2gCy5Vacq1

#WomensMarch - #Tokyo, Japan

Growing up to 500 peoples now!",0.0,1,1.0,1.0,wm
wm_135,"Target: Women's March

Madonna has proved she is not classy, poised, or gracious. #WomensMarch",0.0,0,0.0,0.0,wm
wm_136,"Target: Women's March

Turning out as Buddhists to support the #womensmarch in Portsmouth #portsmouthnh #seacoast… https://t.co/6BG9zR9ut7",1.0,1,1.0,1.0,wm
wm_137,"Target: Women's March

Did you know that not all women can be in this #WomensMarch ? Pro life women would be told they cant march. So biased, get over yourself.",0.0,0,0.0,0.0,wm
wm_138,"Target: Women's March

And they wanted to be taken seriously? https://t.co/K63sM4Xkta",0.0,0,0.0,0.0,wm
wm_139,"Target: Women's March

Madonna and Scarlett Johansson among Women's March speakers, Fur hags #WomensMarch https://t.co/W3AXExb5CF",0.0,0,0.0,0.0,wm
wm_140,"Target: Women's March

#WomensMarch ...a whole movement focusing on rights that aren't even being threatened. Way to go girls! !",1.0,0,0.0,0.0,wm
wm_141,"Target: Women's March

Another ""THIS"" Entry in #TrumpsDarkAmerica 🕯️
#TheResistance #Resist #NotMyPresident #BoycottTrump #NeverMyPresident #MAG…",0.0,1,0.0,1.0,wm
wm_142,"Target: Women's March

From @AJENews - the @womensmarchsyd was one of the first in the world #WomensMarch #whyIMarch #feminism #solidarity https://t.co/0O32KZg7LY",1.0,1,1.0,1.0,wm
wm_143,"Target: Women's March

@PrisonPlanet It was the White Privilege march on Washington

#WomensMarch",0.0,0,0.0,0.0,wm
wm_144,"Target: Women's March

You got that right https://t.co/VZ76wYYSsP",1.0,1,1.0,0.0,wm
wm_145,"Target: Women's March

I really should have gone 😅 https://t.co/ds4lMprUbm",0.0,1,1.0,1.0,wm
wm_146,"Target: Women's March

Fake March https://t.co/Dli8SAcisO",0.0,1,0.0,0.0,wm
wm_147,"Target: Women's March

If you are a Christian you just need to read Jeremiah 1:5 and then explain your thoughts. https://t.co/oc8fEiuEpH",0.0,0,1.0,1.0,wm
wm_148,"Target: Women's March

This ""feminist"" cosponsored HR-4018 a pro PayDay loan bill. The sane exploitative loans that harm poor women. What a f…",0.0,0,0.0,0.0,wm
wm_149,"Target: Women's March

We men need to embrace the power and strength of women..give them there voice and welcome there abilities https://t.co/nCCFsXjfMu",1.0,1,1.0,1.0,wm
wm_150,"Target: Women's March

Not for this #WomensMarch because they decided to ban those who are pro life. 🖕🏼",0.0,0,0.0,0.0,wm
wm_151,"Target: Women's March

Signing up future leaders of America at our table at the #womensmarchonraleigh #WomensMarch https://t.co/TaxVQRNHGe",1.0,1,1.0,1.0,wm
wm_152,"Target: Women's March

shut up if you don't like the #WomensMarch we did it to show the orange peel we have as president that we won't be sile…",0.0,1,0.0,1.0,wm
wm_153,"Target: Women's March

@womensmarch How can you use @HillaryClinton HumanRights quote in your GuidingVision&amp;Definition of Principles and not acknowledge her. #FAIL",0.0,1,0.0,1.0,wm
wm_154,"Target: Women's March

You know she supports Sharia, right? https://t.co/A473VFjwU4",1.0,0,0.0,0.0,wm
wm_155,"Target: Women's March

My Twitter is blowing up like #Madonna at the White House, phone keeps freezing can barely send this tweet! 😂#WomensMarc…",0.0,0,1.0,1.0,wm
wm_156,"Target: Women's March

Silly liberal moonbats acting like their changing the world but 2 weeks from now.... *crickets chirping* https://t.co/PTw2YX3Oad",0.0,0,0.0,0.0,wm
wm_157,"Target: Women's March

ICONIC https://t.co/DlOwybgT1v",1.0,1,1.0,1.0,wm
wm_158,"Target: Women's March

@greenrose50 Me too! I'm energized and hopeful for the first time in a long time. #WomensMarch",1.0,1,1.0,1.0,wm
wm_159,"Target: Women's March

Thank u @SophiaBush !🙏🏼❤ bc of u i got to learn about @womensmarch and found out about #sistermarch in #berlin ! #WomensMarch #WhyIMarch https://t.co/j2PGgqKPGc",1.0,1,1.0,1.0,wm
wm_160,"Target: Women's March

possibly the cutest thing I've ever seen #WomensMarch https://t.co/OFOEx2JJuy",1.0,1,1.0,1.0,wm
